DATE,DGS30
2023-06-09,3.89
2023-06-12,3.87
2023-06-13,3.94
2023-06-14,3.90
2023-06-15,3.85
2023-06-16,3.86
2023-06-19,.
2023-06-20,3.83
2023-06-21,3.81
2023-06-22,3.88
2023-06-23,3.82
2023-06-26,3.83
2023-06-27,3.84
2023-06-28,3.81
2023-06-29,3.92
2023-06-30,3.85
2023-07-03,3.87
2023-07-04,.
2023-07-05,3.95
2023-07-06,4.01
2023-07-07,4.05
2023-07-10,4.05
2023-07-11,4.03
2023-07-12,3.96
2023-07-13,3.90
